"mp_dt_stuermisch_hell.mpg"; "the boy has a stormy disposition"
"ik_dt_kuesterlaeutet_hell.mpg"; "the sexton rings the bell"
"fi_dt_henkelgross_hell.mpg"; "the soup bowl has a large handle"
"fm_dt_demonstrantenrandgruppe_hell.mpg"; "the demonstrators belong to a fringe group"
"fm_dt_chefkonsequenthandeln_hell.mpg"; "the company boss wants to act consistently"
"ik_dt_krummerbuckel_hell.mpg"; "the grandmother has a crooked hump"
"fi_dt_schmalerschlitz_hell.mpg"; "the letterbox has a narrow slit"
"fi_dt_wendeltreppe_hell.mpg"; "the staircase to the top is a spiral staircase"
"mp_dt_schrumpfen_hell.mpg"; "the income has been shrinking for years"
"fi_dt_ballrollthinunter_hell.mpg"; "the ball rolls down the slope"
"fm_dt_stimmungschaukelthoch_hell.mpg"; "the mood gradually swings up"
"ik_dt_kreisfoermigerspot_hell.mpg"; "the spotlight casts a circular spot on the floor"
"fm_dt_einleitunghauptteilgetrennt_hell.mpg"; "the introduction is separated from the main part"
"fm_dt_niveauanders_hell.mpg"; "the rents are at a different level"
"fi_dt_schafabseits_hell.mpg"; "the black sheep stands apart from the flock"
"ik_dt_zusammenkleben_hell.mpg"; "the kindergarten teacher glues two boxes together"
"fm_dt_vereinzelt_hell.mpg"; "the symptoms can only be found sporadically"
"fm_dt_bestaetigtgesamtkonzept_hell.mpg"; "research confirms the overall concept"
"mp_dt_hypothesenverwerfen-x_hell.mpg"; "the young man rejects his plan"
"fm_dt_nichtvieldazu_hell.mpg"; "the witness doesn't really have much to say"
"mp_dt_straeubtsich_hell.mpg"; "the landlady resists the new tenant"
"ik_dt_anschiebenauto_hell.mpg"; "the passers-by help to push the car"
"fi_dt_hochhebenmedball_hell.mpg"; "the sports teacher lifts a medicine ball"
"ik_dt_schraubenleiste_hell.mpg"; "the mechanic screws the bar tight"
"ik_dt_servierenkaffee_hell.mpg"; "the waitress serves a coffee"
"mp_dt_schwammig_hell.mpg"; "the witness's statement is very vague"
"ik_dt_schmalersteg_hell.mpg"; "the footbridge over the stream is narrow"
"fm_dt_komprimiertegeschichte_hell.mpg"; "the narrative is a compressed story"
"fi_dt_zusammenschieben_hell.mpg"; "the musician pushes the accordion together"
"fm_dt_zusammenenger_hell.mpg"; "the authorities should work more closely together"
"fm_dt_besseralsdieandere_hell.mpg"; "one event is better than the other"
"ik_dt_ueberschlagenwagen_hell.mpg"; "the car overturns on the road"
"mp_dt_ueberbieten-x_hell.mpg"; "the poker players outweigh each other"
"fi_dt_wasserpistolen-x_hell.mpg"; "the teenagers play with toy guns"
"ik_dt_schleudernwaesche_hell.mpg"; "the laundry is spun in the washing machine"
"mp_dt_breitesfeldumfassen_hell.mpg"; "the topic covers a very broad field"
"fi_dt_umschaltenfernbed_hell.mpg"; "the son switches the program with the remote control"
"ik_dt_hauszelt_hell.mpg"; "the family spends the night in a house tent"
"ik_dt_kreisenflugzeug_hell.mpg"; "the airplane circles over the runway"
"fi_dt_schneidenzwiebeln_hell.mpg"; "the cook cuts the onions into cubes"
"fm_dt_schlussstrich_hell.mpg"; "the young person draws a line"
"ik_dt_zackensaegeblatt_hell.mpg"; "the saw blade of the circular saw has large teeth"
"fi_dt_kindbisabgrund_hell.mpg"; "the child runs to the abyss"
"mp_dt_standpunktklarmachen_hell.mpg"; "the speaker makes his point clear"
"ik_dt_spieluhraufziehen_hell.mpg"; "the big sister winds up the music box"
"fm_dt_handlungverwoben_hell.mpg"; "the storylines are interwoven"
"mp_dt_ganzschoenstrapaziert-x_hell.mpg"; "the boss's goodwill is quite strained"
"ik_dt_grosserfisch_hell.mpg"; "the angler catches a big fish"
"ik_dt_oeffnenkeksdose_hell.mpg"; "the sister opens the cookie jar"
"fm_dt_worterteilen-x_hell.mpg"; "the teacher gives the student the floor"
"fm_dt_durchgehenvortrag_hell.mpg"; "the professor goes through the lecture again in silence"
"mp_dt_produktkleinezielgruppe_hell.mpg"; "the product is intended for a very small target group"
"fm_dt_ausholenweit_hell.mpg"; "the politician has to go a long way in his speech"
"mp_dt_drueckenstimmung_hell.mpg"; "the bad weather is depressing the mood"
"fi_dt_drehtuer_hell.mpg"; "the building has a revolving door"
"fi_dt_schleudernfrisbee_hell.mpg"; "the teenager hurls the Frisbee disk away"
"mp_dt_abwaegenargumente_hell.mpg"; "the lawyer weighs the arguments against each other"
"fi_dt_pforteabsperren-x_hell.mpg"; "the boss locks the office"
"ik_dt_nachbarindick_hell.mpg"; "the neighbor is a very fat woman"
"mp_dt_dieeinedieandere_hell.mpg"; "Shopping is one thing, cooking is another"
"ik_dt_handysleichter_hell.mpg"; "the new cell phones are getting lighter and lighter"
"mp_dt_annaeherungdebatte_hell.mpg"; "the debate leads to a rapprochement"
"mp_dt_sprunghaft-x_hell.mpg"; "the poet has very erratic trains of thought"
"fi_dt_schiebedachaufziehen_hell.mpg"; "the sunroof can be pulled backwards"
"mp_dt_rechnerkompatibel_hell.mpg"; "the calculators are compatible with each other"
"fi_dt_schraubefliegen_hell.mpg"; "the art pilot flies a screw"
"ik_dt_schwimmensee_hell.mpg"; "the vacationer swims through the lake"
"fm_dt_nebeneinander_hell.mpg"; "the different opinions exist side by side"
"mp_dt_richtungsweisendeerfolge-x_hell.mpg"; "Research has made groundbreaking progress"
"mp_dt_unterteilt_hell.mpg"; "the performance is divided by breaks"
"mp_dt_schrittfuerschritt_hell.mpg"; "the task must be explained step by step"
"fi_dt_saltosprungbrett-x_hell.mpg"; "the gymnast does a somersault from the box"
"fi_dt_hinaufberg_hell.mpg"; "the hike leads up the mountain"
"mp_dt_aufbauenkurse_hell.mpg"; "the advanced training builds on the previous courses"
"fm_dt_ganzleerfussballfeld_hell.mpg"; "the soccer field is completely empty again"
"ik_dt_teilenportionen_hell.mpg"; "the kitchen assistant divides the dessert into two portions"
"fi_dt_rundesgefaess-x_hell.mpg"; "the gems are in a round box"
"fi_dt_schwingentaktstock_hell.mpg"; "the conductor swings the baton"
"fm_dt_weitergeben_hell.mpg"; "the team leader passes on the praise to his colleagues"
"fm_dt_indieserartdurchfuehren_hell.mpg"; "the artist wants to realize his ideas in this way"