Spermanr;Sphere_Centres;Voxel_Indicies;AAL_Coordinates;Talairach_Coordinates
0.6465219395657475;[40, -94, -24];[23733, 26887, 26888, 26889, 33369, 33370, 33405, 33406, 33407, 33408, 33444, 33445, 33446, 33447, 33484, 33485, 33486, 36999, 37035, 37036, 37037, 37073, 37074, 37075, 37076, 40997, 41069, 41070];[(63, 18, 22), (64, 19, 23), (65, 19, 23), (66, 19, 23), (62, 16, 25), (63, 16, 25), (62, 17, 25), (63, 17, 25), (64, 17, 25), (65, 17, 25), (63, 18, 25), (64, 18, 25), (65, 18, 25), (66, 18, 25), (64, 19, 25), (65, 19, 25), (66, 19, 25), (63, 16, 26), (63, 17, 26), (64, 17, 26), (65, 17, 26), (63, 18, 26), (64, 18, 26), (65, 18, 26), (66, 18, 26), (64, 15, 27), (64, 17, 27), (65, 17, 27)];[[(36, -90, -28), 'Outside defined BAs'], [(38, -88, -26), 'Outside defined BAs'], [(40, -88, -26), 'Outside defined BAs'], [(42, -88, -26), 'Outside defined BAs'], [(34, -94, -22), 'Outside defined BAs'], [(36, -94, -22), 'Outside defined BAs'], [(34, -92, -22), 'Outside defined BAs'], [(36, -92, -22), 'Outside defined BAs'], [(38, -92, -22), 'Outside defined BAs'], [(40, -92, -22), 'Outside defined BAs'], [(36, -90, -22), 'Outside defined BAs'], [(38, -90, -22), 'Outside defined BAs'], [(40, -90, -22), 'Outside defined BAs'], [(42, -90, -22), 'Outside defined BAs'], [(38, -88, -22), 'Outside defined BAs'], [(40, -88, -22), 'Outside defined BAs'], [(42, -88, -22), 'Outside defined BAs'], [(36, -94, -20), 'Outside defined BAs'], [(36, -92, -20), 'Outside defined BAs'], [(38, -92, -20), 'Outside defined BAs'], [(40, -92, -20), 'Outside defined BAs'], [(36, -90, -20), 'Outside defined BAs'], [(38, -90, -20), 'Outside defined BAs'], [(40, -90, -20), 'Outside defined BAs'], [(42, -90, -20), 'Outside defined BAs'], [(38, -96, -18), 'Outside defined BAs'], [(38, -92, -18), 'Outside defined BAs'], [(40, -92, -18), 'Outside defined BAs']]
0.4280310486472476;[-50, -74, -54];[29, 30, 59, 60, 61, 62, 63, 98, 99, 100, 101, 102, 140, 141, 142, 143, 144, 185, 186, 187, 188, 189, 234, 235, 236, 580, 581, 610, 611, 612, 613, 614, 649, 650, 651, 652, 653, 691, 692, 693, 694, 695, 736, 737, 738, 739, 740, 785, 786, 787, 1743, 1744, 1745, 1785, 1786, 1787, 1788, 1831, 1832, 1833, 1834, 1878, 1879, 1880, 1881, 1882, 1929, 1930, 1931, 1932, 1933, 3058, 3059, 3060, 3104, 3105, 3106, 3152, 3153, 3154];[(21, 24, 9), (22, 24, 9), (19, 25, 9), (20, 25, 9), (21, 25, 9), (22, 25, 9), (23, 25, 9), (19, 26, 9), (20, 26, 9), (21, 26, 9), (22, 26, 9), (23, 26, 9), (19, 27, 9), (20, 27, 9), (21, 27, 9), (22, 27, 9), (23, 27, 9), (18, 28, 9), (19, 28, 9), (20, 28, 9), (21, 28, 9), (22, 28, 9), (19, 29, 9), (20, 29, 9), (21, 29, 9), (21, 24, 10), (22, 24, 10), (19, 25, 10), (20, 25, 10), (21, 25, 10), (22, 25, 10), (23, 25, 10), (19, 26, 10), (20, 26, 10), (21, 26, 10), (22, 26, 10), (23, 26, 10), (19, 27, 10), (20, 27, 10), (21, 27, 10), (22, 27, 10), (23, 27, 10), (18, 28, 10), (19, 28, 10), (20, 28, 10), (21, 28, 10), (22, 28, 10), (19, 29, 10), (20, 29, 10), (21, 29, 10), (20, 24, 11), (21, 24, 11), (22, 24, 11), (19, 25, 11), (20, 25, 11), (21, 25, 11), (22, 25, 11), (19, 26, 11), (20, 26, 11), (21, 26, 11), (22, 26, 11), (18, 27, 11), (19, 27, 11), (20, 27, 11), (21, 27, 11), (22, 27, 11), (18, 28, 11), (19, 28, 11), (20, 28, 11), (21, 28, 11), (22, 28, 11), (19, 25, 12), (20, 25, 12), (21, 25, 12), (19, 26, 12), (20, 26, 12), (21, 26, 12), (19, 27, 12), (20, 27, 12), (21, 27, 12)];[[(-48, -78, -54), 'Outside defined BAs'], [(-46, -78, -54), 'Outside defined BAs'], [(-52, -76, -54), 'Outside defined BAs'], [(-50, -76, -54), 'Outside defined BAs'], [(-48, -76, -54), 'Outside defined BAs'], [(-46, -76, -54), 'Outside defined BAs'], [(-44, -76, -54), 'Outside defined BAs'], [(-52, -74, -54), 'Outside defined BAs'], [(-50, -74, -54), 'Outside defined BAs'], [(-48, -74, -54), 'Outside defined BAs'], [(-46, -74, -54), 'Outside defined BAs'], [(-44, -74, -54), 'Outside defined BAs'], [(-52, -72, -54), 'Outside defined BAs'], [(-50, -72, -54), 'Outside defined BAs'], [(-48, -72, -54), 'Outside defined BAs'], [(-46, -72, -54), 'Outside defined BAs'], [(-44, -72, -54), 'Outside defined BAs'], [(-54, -70, -54), 'Outside defined BAs'], [(-52, -70, -54), 'Outside defined BAs'], [(-50, -70, -54), 'Outside defined BAs'], [(-48, -70, -54), 'Outside defined BAs'], [(-46, -70, -54), 'Outside defined BAs'], [(-52, -68, -54), 'Outside defined BAs'], [(-50, -68, -54), 'Outside defined BAs'], [(-48, -68, -54), 'Outside defined BAs'], [(-48, -78, -52), 'Outside defined BAs'], [(-46, -78, -52), 'Outside defined BAs'], [(-52, -76, -52), 'Outside defined BAs'], [(-50, -76, -52), 'Outside defined BAs'], [(-48, -76, -52), 'Outside defined BAs'], [(-46, -76, -52), 'Outside defined BAs'], [(-44, -76, -52), 'Outside defined BAs'], [(-52, -74, -52), 'Outside defined BAs'], [(-50, -74, -52), 'Outside defined BAs'], [(-48, -74, -52), 'Outside defined BAs'], [(-46, -74, -52), 'Outside defined BAs'], [(-44, -74, -52), 'Outside defined BAs'], [(-52, -72, -52), 'Outside defined BAs'], [(-50, -72, -52), 'Outside defined BAs'], [(-48, -72, -52), 'Outside defined BAs'], [(-46, -72, -52), 'Outside defined BAs'], [(-44, -72, -52), 'Outside defined BAs'], [(-54, -70, -52), 'Outside defined BAs'], [(-52, -70, -52), 'Outside defined BAs'], [(-50, -70, -52), 'Outside defined BAs'], [(-48, -70, -52), 'Outside defined BAs'], [(-46, -70, -52), 'Outside defined BAs'], [(-52, -68, -52), 'Outside defined BAs'], [(-50, -68, -52), 'Outside defined BAs'], [(-48, -68, -52), 'Outside defined BAs'], [(-50, -78, -50), 'Outside defined BAs'], [(-48, -78, -50), 'Outside defined BAs'], [(-46, -78, -50), 'Outside defined BAs'], [(-52, -76, -50), 'Outside defined BAs'], [(-50, -76, -50), 'Outside defined BAs'], [(-48, -76, -50), 'Outside defined BAs'], [(-46, -76, -50), 'Outside defined BAs'], [(-52, -74, -50), 'Outside defined BAs'], [(-50, -74, -50), 'Outside defined BAs'], [(-48, -74, -50), 'Outside defined BAs'], [(-46, -74, -50), 'Outside defined BAs'], [(-54, -72, -50), 'Outside defined BAs'], [(-52, -72, -50), 'Outside defined BAs'], [(-50, -72, -50), 'Outside defined BAs'], [(-48, -72, -50), 'Outside defined BAs'], [(-46, -72, -50), 'Outside defined BAs'], [(-54, -70, -50), 'Outside defined BAs'], [(-52, -70, -50), 'Outside defined BAs'], [(-50, -70, -50), 'Outside defined BAs'], [(-48, -70, -50), 'Outside defined BAs'], [(-46, -70, -50), 'Outside defined BAs'], [(-52, -76, -48), 'Outside defined BAs'], [(-50, -76, -48), 'Outside defined BAs'], [(-48, -76, -48), 'Outside defined BAs'], [(-52, -74, -48), 'Outside defined BAs'], [(-50, -74, -48), 'Outside defined BAs'], [(-48, -74, -48), 'Outside defined BAs'], [(-52, -72, -48), 'Outside defined BAs'], [(-50, -72, -48), 'Outside defined BAs'], [(-48, -72, -48), 'Outside defined BAs']]
0.4199176422118351;[-40, -94, -34];[11086, 13236, 13237, 13238, 13239, 13240, 13275, 13276, 13277, 15671, 15672, 15673, 15674, 15675, 15706, 15707, 15708, 18179, 18180, 18181, 18182, 18183, 18214, 18215, 18216, 20905];[(25, 18, 17), (23, 18, 18), (24, 18, 18), (25, 18, 18), (26, 18, 18), (27, 18, 18), (24, 19, 18), (25, 19, 18), (26, 19, 18), (23, 18, 19), (24, 18, 19), (25, 18, 19), (26, 18, 19), (27, 18, 19), (24, 19, 19), (25, 19, 19), (26, 19, 19), (23, 18, 20), (24, 18, 20), (25, 18, 20), (26, 18, 20), (27, 18, 20), (24, 19, 20), (25, 19, 20), (26, 19, 20), (27, 18, 21)];[[(-40, -90, -38), 'Outside defined BAs'], [(-44, -90, -36), 'Outside defined BAs'], [(-42, -90, -36), 'Outside defined BAs'], [(-40, -90, -36), 'Outside defined BAs'], [(-38, -90, -36), 'Outside defined BAs'], [(-36, -90, -36), 'Outside defined BAs'], [(-42, -88, -36), 'Outside defined BAs'], [(-40, -88, -36), 'Outside defined BAs'], [(-38, -88, -36), 'Outside defined BAs'], [(-44, -90, -34), 'Outside defined BAs'], [(-42, -90, -34), 'Outside defined BAs'], [(-40, -90, -34), 'Outside defined BAs'], [(-38, -90, -34), 'Outside defined BAs'], [(-36, -90, -34), 'Outside defined BAs'], [(-42, -88, -34), 'Outside defined BAs'], [(-40, -88, -34), 'Outside defined BAs'], [(-38, -88, -34), 'Outside defined BAs'], [(-44, -90, -32), 'Outside defined BAs'], [(-42, -90, -32), 'Outside defined BAs'], [(-40, -90, -32), 'Outside defined BAs'], [(-38, -90, -32), 'Outside defined BAs'], [(-36, -90, -32), 'Outside defined BAs'], [(-42, -88, -32), 'Outside defined BAs'], [(-40, -88, -32), 'Outside defined BAs'], [(-38, -88, -32), 'Outside defined BAs'], [(-36, -90, -30), 'Outside defined BAs']]
0.4001852506966148;[-30, 56, 46];[182623, 186325];[(31, 90, 56), (32, 89, 57)];[[(-28, 54, 40), 'Outside defined BAs'], [(-26, 52, 42), 'Outside defined BAs']]
0.38418168120404833;[-20, 36, 66];[215813, 215814];[(35, 78, 68), (36, 78, 68)];[[(-20, 30, 64), 'Outside defined BAs'], [(-18, 30, 64), 'Outside defined BAs']]
0.31653895747456945;[60, -64, -44];[3308, 3363, 3419, 3420, 3477, 3478, 3535, 4694, 4748, 4749, 4804, 4805, 4806, 4862, 4863, 4864, 4921, 6149, 6208, 6209, 6210, 6268, 6269, 6270, 6271, 6329, 6330, 6331, 6332, 6390, 6391, 6392, 6393, 6452, 6453, 6454, 6513, 6514, 7813, 7872, 7873, 7874, 7932, 7933, 7934, 7935, 7993, 7994, 7995, 7996, 8054, 8055, 8056, 8057, 8116, 8117, 8118, 8177, 8178, 9681, 9682, 9683, 9742, 9743, 9744, 9803, 9804, 9805, 9864, 9865, 9866, 9925, 9926, 9927, 11764, 11765, 11825, 11826, 11886, 11887];[(73, 29, 12), (73, 30, 12), (73, 31, 12), (74, 31, 12), (73, 32, 12), (74, 32, 12), (73, 33, 12), (73, 29, 13), (72, 30, 13), (73, 30, 13), (72, 31, 13), (73, 31, 13), (74, 31, 13), (72, 32, 13), (73, 32, 13), (74, 32, 13), (73, 33, 13), (74, 28, 14), (73, 29, 14), (74, 29, 14), (75, 29, 14), (72, 30, 14), (73, 30, 14), (74, 30, 14), (75, 30, 14), (72, 31, 14), (73, 31, 14), (74, 31, 14), (75, 31, 14), (72, 32, 14), (73, 32, 14), (74, 32, 14), (75, 32, 14), (73, 33, 14), (74, 33, 14), (75, 33, 14), (74, 34, 14), (75, 34, 14), (74, 28, 15), (73, 29, 15), (74, 29, 15), (75, 29, 15), (72, 30, 15), (73, 30, 15), (74, 30, 15), (75, 30, 15), (72, 31, 15), (73, 31, 15), (74, 31, 15), (75, 31, 15), (72, 32, 15), (73, 32, 15), (74, 32, 15), (75, 32, 15), (73, 33, 15), (74, 33, 15), (75, 33, 15), (74, 34, 15), (75, 34, 15), (73, 29, 16), (74, 29, 16), (75, 29, 16), (73, 30, 16), (74, 30, 16), (75, 30, 16), (73, 31, 16), (74, 31, 16), (75, 31, 16), (73, 32, 16), (74, 32, 16), (75, 32, 16), (73, 33, 16), (74, 33, 16), (75, 33, 16), (74, 30, 17), (75, 30, 17), (74, 31, 17), (75, 31, 17), (74, 32, 17), (75, 32, 17)];[[(56, -68, -48), 'Outside defined BAs'], [(56, -66, -48), 'Outside defined BAs'], [(56, -64, -48), 'Outside defined BAs'], [(58, -64, -48), 'Outside defined BAs'], [(56, -62, -48), 'Outside defined BAs'], [(58, -62, -48), 'Outside defined BAs'], [(56, -60, -48), 'Outside defined BAs'], [(56, -68, -46), 'Outside defined BAs'], [(54, -66, -46), 'Outside defined BAs'], [(56, -66, -46), 'Outside defined BAs'], [(54, -64, -46), 'Outside defined BAs'], [(56, -64, -46), 'Outside defined BAs'], [(58, -64, -46), 'Outside defined BAs'], [(54, -62, -46), 'Outside defined BAs'], [(56, -62, -46), 'Outside defined BAs'], [(58, -62, -46), 'Outside defined BAs'], [(56, -60, -46), 'Outside defined BAs'], [(58, -70, -44), 'Outside defined BAs'], [(56, -68, -44), 'Outside defined BAs'], [(58, -68, -44), 'Outside defined BAs'], [(60, -68, -44), 'Outside defined BAs'], [(54, -66, -44), 'Outside defined BAs'], [(56, -66, -44), 'Outside defined BAs'], [(58, -66, -44), 'Outside defined BAs'], [(60, -66, -44), 'Outside defined BAs'], [(54, -64, -44), 'Outside defined BAs'], [(56, -64, -44), 'Outside defined BAs'], [(58, -64, -44), 'Outside defined BAs'], [(60, -64, -44), 'Outside defined BAs'], [(54, -62, -44), 'Outside defined BAs'], [(56, -62, -44), 'Outside defined BAs'], [(58, -62, -44), 'Outside defined BAs'], [(60, -62, -44), 'Outside defined BAs'], [(56, -60, -44), 'Outside defined BAs'], [(58, -60, -44), 'Outside defined BAs'], [(60, -60, -44), 'Outside defined BAs'], [(58, -58, -44), 'Outside defined BAs'], [(60, -58, -44), 'Outside defined BAs'], [(58, -70, -42), 'Outside defined BAs'], [(56, -68, -42), 'Outside defined BAs'], [(58, -68, -42), 'Outside defined BAs'], [(60, -68, -42), 'Outside defined BAs'], [(54, -66, -42), 'Outside defined BAs'], [(56, -66, -42), 'Outside defined BAs'], [(58, -66, -42), 'Outside defined BAs'], [(60, -66, -42), 'Outside defined BAs'], [(54, -64, -42), 'Outside defined BAs'], [(56, -64, -42), 'Outside defined BAs'], [(58, -64, -42), 'Outside defined BAs'], [(60, -64, -42), 'Outside defined BAs'], [(54, -62, -42), 'Outside defined BAs'], [(56, -62, -42), 'Outside defined BAs'], [(58, -62, -42), 'Outside defined BAs'], [(60, -62, -42), 'Outside defined BAs'], [(56, -60, -42), 'Outside defined BAs'], [(58, -60, -42), 'Outside defined BAs'], [(60, -60, -42), 'Outside defined BAs'], [(58, -58, -42), 'Outside defined BAs'], [(60, -58, -42), 'Outside defined BAs'], [(56, -68, -40), 'Outside defined BAs'], [(58, -68, -40), 'Outside defined BAs'], [(60, -68, -40), 'Outside defined BAs'], [(56, -66, -40), 'Outside defined BAs'], [(58, -66, -40), 'Outside defined BAs'], [(60, -66, -40), 'Outside defined BAs'], [(56, -64, -40), 'Outside defined BAs'], [(58, -64, -40), 'Outside defined BAs'], [(60, -64, -40), 'Outside defined BAs'], [(56, -62, -40), 'Outside defined BAs'], [(58, -62, -40), 'Outside defined BAs'], [(60, -62, -40), 'Outside defined BAs'], [(56, -60, -40), 'Outside defined BAs'], [(58, -60, -40), 'Outside defined BAs'], [(60, -60, -40), 'Outside defined BAs'], [(58, -66, -38), 'Outside defined BAs'], [(60, -66, -38), 'Outside defined BAs'], [(58, -64, -38), 'Outside defined BAs'], [(60, -64, -38), 'Outside defined BAs'], [(58, -62, -38), 'Outside defined BAs'], [(60, -62, -38), 'Outside defined BAs']]
